Diario,Tipo_de_pieza,Interactividad,Soporte,Número_de_fuentes,Número_de_fuentes_label,Tipo_de_fuente,Número_de_visualizaciones,Número_de_visualizaciones_label,Deporte,Autor,Clásico,Perfil_del_autor,Fecha,Titular,Enlace final copiado
Marca,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,D?dac Piferrer,No,Periodista,19/11/2019,El Espanyol es el peor anfitri?n de Europa,<a href='https://www.marca.com/futbol/espanyol/2019/11/18/5dd2707dca4741c66c8b4653.html' target='_blank'>'El Espanyol es el peor anfitri?n de Europa'</a><br/>
Marca,Previa,Estática,Papel,0,No se indica,Ninguna,1,Una,Tenis,Fernando M. Carre?o,No,Periodista y departamento de infografía,19/11/2019,La 'generaci?n del 98' a punto,<a href='https://imgur.com/T2JBlDX' target='_blank'>'La 'generaci?n del 98' a punto'</a><br/>
As,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Alberto Mart?nez,No,Periodista,19/11/2019,La cima de los 42 puntos,<a href='https://as.com/futbol/2019/11/18/primera/1574117110_355297.html' target='_blank'>'La cima de los 42 puntos'</a><br/>
As,Artículo de datos,Estática,Papel y digital,1,Una,Externa,0,Ninguna,Fútbol,Alberto Mart?nez,No,Periodista,19/11/2019,El Espanyol batir? r?cords este ejercicio: 20 M? de beneficios,<a href='https://as.com/futbol/2019/11/18/primera/1574072287_566030.html' target='_blank'>'El Espanyol batir? r?cords este ejercicio: 20 M? de beneficios'</a><br/>
As,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fórmula 1,Jes?s Balseiro,No,Periodista,19/11/2019,Sainz se pone al nivel de campeones mundiales,<a href='https://as.com/motor/2019/11/18/formula_1/1574055382_226906.html' target='_blank'>'Sainz se pone al nivel de campeones mundiales'</a><br/>
Sport,Especial,Estática,Papel,1,Una,Externa,8,Tres o más,Fútbol,David Salinas/ Marc Creus,No,Periodista y departamento de infografía,25/11/2019,"Messi, 700 partidos","<a href='https://imgur.com/NyX0LV5' target='_blank'>'Messi, 700 partidos'</a><br/>"
Mundo Deportivo,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Jordi Santamar?a,No,Periodista,19/11/2019,Rubi solo perdi? con el Valencia el d?a de su debut,<a href='https://www.mundodeportivo.com/futbol/betis/20191119/471752002238/rubi-solo-perdio-con-el-valencia-el-dia-de-su-debut.html' target='_blank'>'Rubi solo perdi? con el Valencia el d?a de su debut'</a><br/>
Mundo Deportivo,Previa,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Xabier Isasa,No,Periodista,19/11/2019,Una victoria con Gonz?lez Gonz?lez desde febrero de 2016,<a href='https://www.mundodeportivo.com/futbol/real-sociedad/20191119/471752164524/una-victoria-con-gonzalez-gonzalez-desde-febrero-de-2016.html' target='_blank'>'Una victoria con Gonz?lez Gonz?lez desde febrero de 2016'</a><br/>
Mundo Deportivo,Artículo de datos,Estática,Digital,1,Una,Externa,0,Ninguna,Fútbol,Alberto Garc?a,No,Periodista,19/11/2019,Un once del Athletic multiplicado por cuatro,<a href='https://www.mundodeportivo.com/futbol/athletic-bilbao/20191119/471731997328/athletic-once-garitano-real-mallorca-espanyol-levante.html' target='_blank'>'Un once del Athletic multiplicado por cuatro'</a><br/>
Sport,Especial,Estática,Papel,0,No se indica,Ninguna,2,Dos,Tenis,David Boti/ Marc Creus,No,Periodista y departamento de infografía,26/11/2019,Un palmar?s ?nico e irrepetible,<a href='https://imgur.com/K92afCG' target='_blank'>'Un palmar?s ?nico e irrepetible'</a><br/>
Sport,Previa,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Germ?n Bona,No,Periodista,01/12/2019,Messi visita a una v?citima predilecta,<a href='https://www.sport.es/es/noticias/barca/messi-visita-una-victima-predilecta-7758195' target='_blank'>'Messi visita a una v?citima predilecta'</a><br/>
Mundo Deportivo,Especial,Estática,Papel,0,No se indica,Ninguna,1,Una,Fórmula 1,Fabio Marchi/ Hugo Navarro,No,Periodista y departamento de infografía,19/11/2019,Un podio basado en la constancia y el trabajo duro,<a href='https://imgur.com/0Dx6NwU' target='_blank'>'Un podio basado en la constancia y el trabajo duro'</a><br/>
Sport,Previa,Estática,Papel y digital,0,No se indica,Ninguna,1,Una,Fútbol,Juan Manuel D?az,No,Periodista,13/12/2019,"Con Valverde, Anoeta dej? de ser un campo maldito para el Bar?a","<a href='https://www.sport.es/es/noticias/barca/con-valverde-anoeta-dejo-ser-campo-maldito-para-barca-7771865' target='_blank'>'Con Valverde, Anoeta dej? de ser un campo maldito para el Bar?a'</a><br/><b>Visualización en papel:<b> <a href='https://imgur.com/PP3vTGG' target='_blank'>'https://imgur.com/PP3vTGG</a>"
Mundo Deportivo,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,1,Una,Fútbol,Gabriel Sans/ Departamento infografía,No,Periodista y departamento de infografía,20/11/2019,Mejora la conexi?n Messi-Griezmann,<a href='https://www.mundodeportivo.com/futbol/fc-barcelona/20191120/471763911805/barca-messi-ghriezmann.html' target='_blank'>'Mejora la conexi?n Messi-Griezmann'</a><br/>
Mundo Deportivo,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Jaume Miserachs,No,Periodista,20/11/2019,El Madrid 'de siempre',<a href='https://www.mundodeportivo.com/futbol/real-madrid/20191119/471751942610/real-madrid-jugadores-minutos-utilizados.html' target='_blank'>'El Madrid 'de siempre''</a><br/><b>Visualización en papel:<b><a href='https://imgur.com/Kxl4Ope' target='_blank'>'https://imgur.com/Kxl4Ope'</a>
Mundo Deportivo,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Chema G. Fuente,No,Periodista,20/11/2019,La vuelta se atraganta,<a href='https://www.mundodeportivo.com/futbol/atletico-madrid/20191118/471716474751/al-atletico-se-le-atraganta-los-parones-en-las-ultimas-temporadas.html' target='_blank'>'La vuelta se atraganta'</a><br/>
As,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,1,Una,Fútbol,Javier Maroto,No,Periodista,20/11/2019,Luis Enrique se fue con De Gea de titular y ahora est? Kepa,<a href='https://as.com/futbol/2019/11/20/seleccion/1574219552_125532.html' target='_blank'>'Luis Enrique se fue con De Gea de titular y ahora est? Kepa'</a><br/>
Marca,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Hugo Cerezo,No,Periodista,20/11/2019,S?lo falta Isco,<a href='https://www.marca.com/futbol/real-madrid/2019/11/20/5dd41bf122601de5748b4599.html' target='_blank'>'S?lo falta Isco'</a><br/>
Marca,Artículo de datos,Estática,Papel,0,No se indica,Ninguna,2,Dos,Fútbol,Ramiro Aldunate/ Miguel ?ngel Carbonero,No,Periodista y departamento de infografía,20/11/2019,El 'cambio de Valverde',<a href='https://imgur.com/APclIks' target='_blank'>'El 'cambio de Valverde''</a><br/>
As,Artículo de datos,Estática,Papel y digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Carlos Forjanes,No,Periodista,20/11/2019,El ca??n de Achraf: es el defensa m?s goleador de Europa,<a href='https://as.com/futbol/2019/11/19/internacional/1574179146_472026.html' target='_blank'>'El ca??n de Achraf: es el defensa m?s goleador de Europa'</a><br/>
As,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Javier Lekuona,No,Periodista,20/11/2019,"Wakaso, cuarto jugador de LaLiga en recuperaci?n de balones","<a href='https://as.com/futbol/2019/11/20/primera/1574241601_183578.html' target='_blank'>'Wakaso, cuarto jugador de LaLiga en recuperaci?n de balones'</a><br/>"
As,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Montserrate Hern?ndez,No,Periodista,20/11/2019,Nino est? a un ca?onazo del r?cord hist?rico de Pierita,<a href='https://as.com/futbol/2019/11/20/segunda/1574266178_531417.html' target='_blank'>'Nino est? a un ca?onazo del r?cord hist?rico de Pierita'</a><br/>
As,Artículo de datos,Estática,Digital,0,No se indica,Ninguna,0,Ninguna,Fútbol,Maite Mart?n,No,Periodista,20/11/2019,El Rayo se estrella con los palos,<a href='https://as.com/futbol/2019/11/19/segunda/1574191761_468312.html' target='_blank'>'El Rayo se estrella con los palos'</a><br/>
Marca,Artículo de datos,Estática,Digital,1,Una,Externa,0,Ninguna,Baloncesto,Redacci?n,No,Periodista,20/11/2019,Los n?meros no enga?an: Luka Doncic se codea con los ?ltimos MVP de la NBA,<a href='https://www.marca.com/baloncesto/nba/2019/11/20/5dd5105ce2704e255e8b45d8.html' target='_blank'>'Los n?meros no enga?an: Luka Doncic se codea con los ?ltimos MVP de la NBA'</a><br/>
